no,n,interval,root,bisect_fallback,bisection,regula_falsi,abkk,barycentric,zhang,ridders,illinois,blendtf,itp,bdqrf,rbp,pegasus,toms748,brent,brentq,anderson_bjorck,brenth,muller,modab,chandrupatla
127,,"[-1,1]",-6.666666666666666E-01,regula_falsi,47,1047,24,3,17,16,15,29,48,16,16,16,18,13,13,5,6,11,8,11
128,,"[-1,1]",1.000000000000000E-06,regula_falsi,35,1035,68,88,66,64,74,66,41,49,112,97,80,95,95,48,95,207,35,43
129,,"[-1,1]",1.000000000000000E-06,regula_falsi,35,1035,68,97,66,64,76,66,40,59,104,121,105,108,108,92,109,204,35,42
130,,"[-1,1]",3.333333333333333E-01,regula_falsi,19,1019,24,55,22,30,34,4,21,25,984,54,52,50,50,41,50,109,19,19
131,,"[-1,1]",-3.333333333333333E-01,regula_falsi,25,1025,36,58,36,34,26,3,26,31,31,42,56,59,59,34,59,42,25,25
132,,"[-1000,1]",0.000000000000000E+00,,59,3,4,17,4,4,3,5,18,4,4,3,3,3,3,3,3,4,4,5
133,,"[0,157.08]",7.477185324553152E+01,,47,3,4,5,4,4,3,8,15,4,4,3,3,3,4,3,4,4,4,4
134,,"[0.5,5]",1.000000000000000E+00,,48,30,16,20,18,12,10,26,11,12,12,9,9,9,9,9,9,10,9,9
135,,"[0.5,8]",1.000040835564727E+00,regula_falsi,49,1049,30,45,22,18,38,35,12,22,20,37,18,17,17,21,15,27,16,14
136,,"[1,4]",1.696812386809752E+00,,47,35,20,30,16,16,11,26,10,14,10,11,11,13,13,12,12,9,12,11
137,,"[0.1,pi/3]",5.235987755982989E-01,,47,17,18,25,12,10,9,23,8,10,8,8,8,8,8,8,8,7,9,7
138,,"[-10,10]",6.566666666666666E-01,,51,32,20,28,14,18,17,29,16,20,13,14,11,12,12,14,14,15,14,13
139,,"[-10000,10]",6.566666666666666E-01,,60,63,28,43,23,22,19,47,38,28,17,18,17,15,15,15,16,17,20,21
140,,"[0,1.5]",1.000000000000000E+00,,46,75,18,21,14,4,12,4,11,12,10,10,9,11,11,10,10,9,10,9
141,,"[0,1.7]",7.390851332151607E-01,,47,19,16,27,12,12,10,23,9,12,8,8,8,8,8,8,8,7,8,8
142,,"[2.6,3.5]",3.000000000000000E+00,regula_falsi,44,1044,22,42,16,14,21,6,17,16,14,20,18,12,12,31,12,11,11,11
143,,"[-0.5,1/3]",0.000000000000000E+00,regula_falsi,17,1017,20,58,22,27,32,28,16,29,29,50,46,40,40,38,40,61,17,17
144,,"[-0.5,1/3]",0.000000000000000E+00,regula_falsi,11,1011,17,38,17,14,36,16,12,15,15,53,20,19,19,39,23,35,11,11
145,,"[0,4]",8.654740331016144E-01,regula_falsi,48,1048,20,34,16,16,15,26,11,14,12,13,13,14,14,15,13,10,11,11
146,,"[0.51,1.5]",1.000000000000000E+00,,46,38,12,25,10,8,11,23,11,10,8,10,9,10,10,9,9,7,9,8
147,,"[0.1,1]",3.994222917109682E-01,,47,94,16,30,14,14,12,20,17,12,10,12,10,12,12,12,12,9,11,10
148,,"[-1.8,0]",-1.000000000000000E+00,,47,56,22,28,14,12,12,6,10,12,10,10,11,10,10,12,10,9,10,9
149,,"[7,8]",7.140000000000000E+00,regula_falsi,18,1018,28,40,26,26,34,28,20,29,29,51,48,46,46,38,46,52,18,18
150,,"[2.6,3.6]",3.000000000000000E+00,regula_falsi,11,1011,17,30,17,17,38,15,12,15,15,55,24,26,26,41,24,29,11,11
151,,"[4,5]",4.267168304542125E+00,regula_falsi,44,1044,26,33,18,16,53,32,45,24,18,53,11,14,13,58,13,20,13,14
152,,"[0.05,5]",3.183098861837907E-01,regula_falsi,50,1050,20,31,15,16,15,32,49,18,17,14,18,12,12,5,7,13,11,13
153,,"[0,1.5]",1.325817663668033E+00,regula_falsi,46,1046,22,62,14,16,15,32,47,16,16,14,15,13,13,12,10,16,13,15
154,,"[0,10]",1.382571550568241E-01,,52,36,22,28,17,14,14,35,16,16,14,13,13,13,13,11,13,13,13,13
155,,"[0,1.9]",1.000000000000000E+00,,47,58,20,32,18,12,15,33,11,10,10,12,11,11,11,14,11,10,12,11
156,,"[1.001,2.001]",2.000000000000000E+00,,45,8,10,36,16,16,9,17,8,16,8,7,8,7,7,7,7,7,8,8
157,,"[2.5,10]",3.000000000000000E+00,regula_falsi,47,1047,22,33,23,22,18,29,14,22,14,17,14,16,16,24,16,13,13,12
